股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
301127,天源环保,1.97,11.91,11.94,11.63,11.73,0.23,1.73,0.65,46.98,42776,50689413.0,11.68,5004974220,2944204261,0.301127,深A,2024-06-14 15:34:51,2024-06-14
002124,ST天邦,1.97,2.59,2.6,2.51,2.52,0.05,3.46,0.74,2.38,539578,137911166.38,2.54,5754808625,4044569361,0.002124,深A,2024-06-14 15:34:24,2024-06-14
603801,志邦家居,1.97,13.99,14.05,13.41,13.73,0.27,1.08,0.74,32.33,46530,64383649.0,13.72,6107303904,6046199193,1.603801,沪A,2024-06-14 16:12:03,2024-06-14
003001,中岩大地,1.97,14.51,14.64,13.91,14.19,0.28,2.5,1.35,112.7,30667,44158450.18,14.23,1847565221,1779828188,0.003001,深A,2024-06-14 15:34:57,2024-06-14
837748,路桥信息,1.97,14.0,14.19,13.74,13.89,0.27,5.88,0.96,-39.12,7904,11046293.13,13.73,1074360000,188104476,0.837748,深A,2024-06-14 15:31:55,2024-06-14
605011,杭州热电,1.97,27.5,28.49,27.23,27.23,0.53,8.44,1.89,61.06,102211,284915391.0,26.97,11002750000,3330250000,1.605011,沪A,2024-06-14 16:11:35,2024-06-14
870357,雅葆轩,1.96,15.05,15.1,14.51,14.63,0.29,12.91,0.77,53.68,29949,44465207.61,14.76,1205204000,349182425,0.870357,深A,2024-06-14 15:31:55,2024-06-14
601336,新华保险,1.96,31.68,31.92,30.9,30.91,0.61,0.53,1.25,5.0,109962,346178261.0,31.07,98827236288,66066718291,1.601336,沪A,2024-06-14 16:11:37,2024-06-14
300964,本川智能,1.96,32.73,32.85,31.04,31.85,0.63,9.04,0.73,87.89,30407,97681327.07,32.1,2529972835,1101487139,0.300964,深A,2024-06-14 15:35:00,2024-06-14
833075,柏星龙,1.96,10.41,10.45,10.24,10.25,0.2,1.15,1.56,12.75,2822,2931410.7,10.21,674724150,256333238,0.833075,深A,2024-06-14 15:31:55,2024-06-14
301339,通行宝,1.96,19.8,20.11,19.02,19.31,0.38,8.59,0.88,44.73,103086,201515700.71,19.42,8058600000,2376860864,0.301339,深A,2024-06-14 15:34:57,2024-06-14
300201,海伦哲,1.96,3.65,3.7,3.58,3.58,0.07,1.03,1.09,42.02,106882,38996117.3,3.58,3799363541,3784341655,0.300201,深A,2024-06-14 15:34:09,2024-06-14
000552,甘肃能化,1.96,3.65,3.72,3.5,3.59,0.07,3.43,1.59,9.1,1278880,464330452.09,3.58,19534052498,13599062880,0.000552,深A,2024-06-14 15:34:33,2024-06-14
000036,华联控股,1.95,3.13,3.16,3.07,3.09,0.06,0.58,1.14,56.83,86446,26949280.7,3.07,4644713498,4634464063,0.000036,深A,2024-06-14 15:34:45,2024-06-14
603286,日盈电子,1.95,16.7,16.75,16.02,16.2,0.32,4.03,0.82,83.71,46052,75818529.0,16.38,1908875648,1908875648,1.603286,沪A,2024-06-14 16:11:42,2024-06-14
831167,鑫汇科,1.95,10.44,10.44,10.2,10.3,0.2,1.15,0.81,18.95,2898,2999307.0,10.24,521821904,262635520,0.831167,深A,2024-06-14 15:31:55,2024-06-14
603096,新经典,1.95,17.77,17.79,17.36,17.43,0.34,0.76,0.69,14.87,12364,21848954.0,17.43,2887688705,2887688705,1.603096,沪A,2024-06-14 16:12:00,2024-06-14
300061,旗天科技,1.95,3.66,3.69,3.52,3.58,0.07,1.67,1.02,-105.53,103310,37156544.0,3.59,2411916858,2258859420,0.300061,深A,2024-06-14 15:34:51,2024-06-14
